policy,experiment_id,seed,filter_best_loss,real_best_loss,regret,rank_pct,num_runs,num_prunings,total_epochs,epochs_avoided,total_train_time,saved_time_A,saved_time_B,n_decisions,false_continues,false_prunes,llm_calls,input_tokens,output_tokens,total_latency_s,mean_confidence,saved_pct_A,saved_pct_B,found_best
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,0,0.010280445513273662,0.010280445513273662,0.0,0.0,12,8,344,222,15276.620302200317,8389.021149711565,8371.698732811607,27,0,1,27,10673,152,57.597057400038466,1.0,0.5491411702170329,0.548007253384822,True
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,1,0.03407529089564819,0.019355639705735044,0.014719651189913145,0.18181818181818182,12,9,346,218,15713.402077674866,9250.456812979543,9231.26030847943,25,4,0,25,9868,144,52.95262429997092,1.0,0.5886985369083323,0.5874768724714892,False
llm:conservative:gemma3:27b:L2,HSF15_cooler_fcn,2,0.05679478052017229,0.000186184246558675,0.056608596273613615,0.2727272727272727,12,7,338,124,14528.468924760818,4877.150277139209,4861.743836139268,95,17,7,95,38132,496,203.46286769967992,1.0,0.33569609450222926,0.3346356633528957,False
llm:conservative:gemma3:27b:L2,MOSFET11_rul_fcn,0,0.4166731720292794,0.4166731720292794,0.0,0.0,12,6,219,54,1978.3216342926025,486.5560952706198,473.92762867053324,91,38,3,91,36548,471,192.4279391997261,1.0,0.24594387830399472,0.23956045389959943,True
llm:conservative:gemma3:27b:L2,MOSFET11_rul_fcn,1,0.8325113882169521,0.5005287381213289,0.3319826500956232,0.36363636363636365,12,4,200,23,1817.2687332630157,205.41508365897386,196.5600414590786,114,11,10,114,45814,580,247.1457874997286,1.0,0.11303506184808379,0.10816234157407374,False
llm:conservative:gemma3:27b:L2,MOSFET11_rul_fcn,2,0.715908244330698,0.5731359244008939,0.1427723199298041,0.09090909090909091,12,6,170,17,1501.4548499584198,155.90885548617115,143.0477574862063,73,31,3,73,29235,381,153.1746155996807,1.0,0.10383852400922264,0.09527276660378284,False
llm:conservative:gemma3:27b:L2,MPM20_fault_fcn,0,0.5860525418354676,0.16046598149663246,0.42558656033883513,0.18181818181818182,12,3,250,21,1371.3805210590363,116.40902625162971,109.74979795165245,165,87,8,165,66398,836,350.70289089961443,1.0,0.0848845557188853,0.08002869828346341,False
llm:conservative:gemma3:27b:L2,MPM20_fault_fcn,1,0.12661303079431782,0.12661303079431782,0.0,0.0,12,9,346,151,1810.8446323871613,779.8590144188693,759.8020681188409,22,2,8,22,8654,129,47.81185150000965,1.0,0.4306603672512829,0.4195843500484221,True
llm:conservative:gemma3:27b:L2,MPM20_fault_fcn,2,0.18664833906051762,0.036791176681114854,0.14985716237940278,0.09090909090909091,12,2,204,9,1125.1845092773438,64.5343822332529,60.00755043319302,128,60,9,128,51447,651,272.18546070024604,1.0,0.05735448870932331,0.05333129805682556,False
llm:conservative:gemma3:27b:L2,OBDD17_rul_fcn,0,0.02694932491398248,0.007552439009524783,0.0193968859044577,0.45454545454545453,12,9,468,341,15790.881395339966,9817.200823859335,9798.153507359466,20,1,0,20,7848,119,43.20455820002826,1.0,0.6217006244348388,0.6204944019306605,False
llm:conservative:gemma3:27b:L2,OBDD17_rul_fcn,1,0.03708099780369861,0.01351693332029965,0.023564064483398962,0.09090909090909091,12,8,407,205,13376.273571014404,6270.772982061394,6253.21225766141,61,23,5,61,24402,325,134.1087767999852,1.0,0.46879820069244016,0.46748537434310194,False
llm:conservative:gemma3:27b:L2,OBDD17_rul_fcn,2,0.041820613799947226,0.007552439009524783,0.03426817479042244,0.36363636363636365,12,7,391,220,9513.97463965416,5443.439902812823,5428.266166812855,72,0,16,72,28866,381,156.6574255002779,1.0,0.5721520299333798,0.5705571406705133,False
llm:conservative:gemma3:27b:L2,PHM18_fault_fcn,0,0.7110756896278851,0.6501544689821794,0.06092122064570571,0.2727272727272727,12,5,285,34,15006.172054052353,1730.2669285432553,1720.190502543212,169,8,18,169,68066,864,362.05793370021274,1.0,0.11530368453132617,0.11463219909428414,False
llm:conservative:gemma3:27b:L2,PHM18_fault_fcn,1,0.738291971789228,0.738291971789228,0.0,0.0,12,7,305,102,14173.102860689163,3725.335234339448,3709.4198566395035,102,55,1,102,40964,530,217.940672500059,1.0,0.26284542424878055,0.26172249599119424,True
